trade_id,profit,symbol,direction
92,-115.09357413523924,GOLD,sell
93,127.67923420964058,GOLD,buy
94,122.6496389567742,GOLD,sell
95,107.60890996322169,EURUSD,buy
96,139.06635638175968,EURUSD,sell
97,-105.32405829093072,EURUSD,sell
98,112.76205958140773,EURUSD,buy
99,139.0612924777237,GOLD,sell
100,-111.19502183430497,EURUSD,buy
101,100.03871831976235,EURUSD,buy
102,139.1306010492998,GBPUSD,buy
103,96.44145847759822,GBPUSD,buy
104,127.84808491718668,GBPUSD,sell
105,103.71878646803994,GBPUSD,sell
106,129.21096948924927,EURUSD,buy
107,106.76492685410687,EURUSD,sell
108,107.3879561998464,GOLD,sell
109,131.83158744566515,GOLD,buy
110,136.76272370372052,EURUSD,sell
111,123.27881296010264,GBPUSD,buy
112,113.65035854685281,EURUSD,buy
113,107.71150288219602,EURUSD,sell
114,-95.72390898667041,GOLD,sell
115,-105.24554503989052,GOLD,sell
116,120.12658046904923,GOLD,buy
117,119.64084930330547,EURUSD,buy
118,130.67770153255228,GBPUSD,sell
119,97.16716638870979,EURUSD,sell
120,104.50131261153835,EURUSD,sell
121,-118.15714308010348,GBPUSD,sell
122,-94.80634801021777,GBPUSD,buy
123,140.5592910042108,GBPUSD,sell
124,142.39943131409612,GBPUSD,buy
125,-114.12037821869441,GOLD,buy
126,114.48469097289242,GOLD,sell
127,-92.67688020625111,EURUSD,sell
128,122.72646059800081,EURUSD,sell
129,-107.84119186699893,EURUSD,buy
130,100.6644717009969,EURUSD,sell
131,143.5225848050046,GOLD,sell
132,120.87982331345935,EURUSD,buy
133,-109.63074471016819,EURUSD,sell
134,129.71923603138123,EURUSD,buy
135,110.09240852469568,GOLD,sell
136,134.88544294460067,EURUSD,buy
137,-116.52962210225886,GBPUSD,sell
138,120.07278214498557,EURUSD,sell
139,127.19826867733272,EURUSD,buy
140,134.19804813293285,GOLD,buy
141,-93.51980627406144,GBPUSD,sell
142,100.51113311236172,EURUSD,buy
143,97.72522914224363,GOLD,buy
144,122.04694246596367,GOLD,buy
145,124.35999650731253,EURUSD,buy
146,97.7927130599623,GBPUSD,sell
147,113.28915078774061,GOLD,sell
148,121.06767648263062,GOLD,buy
149,106.35940931984847,GBPUSD,buy
150,100.09667831970087,GBPUSD,buy
151,121.5050223152711,GOLD,buy
152,126.59663527191393,GBPUSD,sell
153,142.84089981420163,GOLD,sell
154,111.50191070117981,GOLD,buy
155,108.99994806057957,GOLD,buy
156,99.76590630442877,GOLD,buy
157,142.20712390454042,EURUSD,sell
158,129.4067618924975,GBPUSD,buy
159,104.3181273634006,GBPUSD,sell
160,108.01165911190057,EURUSD,buy
161,130.30060428960297,GBPUSD,sell
162,109.43682705340525,EURUSD,buy
163,-109.51587666783074,EURUSD,sell
164,125.36259581924891,GOLD,buy
165,107.89108749605556,EURUSD,buy
166,132.3766133022897,GBPUSD,buy
167,101.57148674433199,GBPUSD,sell
168,97.95498251131056,GOLD,buy
169,-108.14631437520094,EURUSD,sell
170,100.69603971124808,EURUSD,sell
171,118.72664499746715,GOLD,buy
172,116.82487916342271,GBPUSD,buy
173,125.56080470650639,GOLD,buy
174,98.17459246905814,EURUSD,sell
175,126.04127595428335,GOLD,buy
176,137.11151237703947,GOLD,sell
177,103.82085249990864,GOLD,sell
178,126.83612535390314,EURUSD,buy
179,124.11722790112624,GOLD,buy
180,-103.01896711503515,GOLD,buy
181,126.87783448523297,GBPUSD,buy
182,122.18960588716487,EURUSD,buy
183,-95.44410551203097,GOLD,buy
184,-116.21402567824255,GBPUSD,sell
185,99.32934244200794,EURUSD,sell
186,96.8746476312744,GBPUSD,sell
187,128.78432512398513,GOLD,buy
188,111.31083025410055,EURUSD,sell
189,97.11705291531965,EURUSD,sell
190,109.5290291891232,GOLD,sell
191,129.4433839374792,EURUSD,sell
192,138.11865664929852,GOLD,sell
193,134.56708465847274,EURUSD,buy
194,104.5170981014267,GOLD,buy
195,134.72806748482867,EURUSD,sell
196,-96.50470707645707,GBPUSD,sell
197,133.26782211561584,GBPUSD,sell
198,140.6763516289711,GBPUSD,buy
199,-97.15976109500073,GOLD,buy
200,132.21805795606474,EURUSD,sell
201,139.3225395206192,GOLD,buy
202,135.6699583731716,EURUSD,buy
203,138.98511496781762,EURUSD,sell
204,96.52020727105432,EURUSD,buy
205,-83.65146707144535,EURUSD,buy
206,141.60297441843863,GOLD,sell
207,-102.93751552493144,GOLD,buy
208,117.52538505495934,EURUSD,buy
209,111.77589817775596,EURUSD,sell
210,132.11397741300863,GBPUSD,buy
211,133.9016708541386,EURUSD,buy
212,119.73217462572391,EURUSD,sell
213,122.3773863515393,EURUSD,sell
214,138.6098007723984,GOLD,sell
215,101.61921678852508,GOLD,buy
216,132.55251032243865,EURUSD,sell
217,100.85388845389393,EURUSD,buy
218,129.64651831003775,GOLD,sell
219,135.44928284593712,GOLD,buy
220,99.90474147081119,EURUSD,sell
221,143.35869976805643,GBPUSD,sell
222,113.79082305921077,EURUSD,sell
223,141.46793171442522,EURUSD,sell
224,-110.13512741035767,GBPUSD,buy
225,100.00803440153611,EURUSD,sell
226,122.80340398731865,GOLD,sell
227,139.5050104845473,EURUSD,buy
228,119.64600500596124,EURUSD,sell
229,118.49571081571806,GBPUSD,buy
230,101.70325998086746,EURUSD,sell
231,127.16209450157105,GBPUSD,sell
232,124.00170072466368,EURUSD,sell
233,-94.99482318094816,EURUSD,buy
234,137.69275815309408,EURUSD,sell
235,142.23468189314931,GOLD,sell
236,142.5541836819667,EURUSD,sell
237,138.7748694575074,GBPUSD,buy
238,143.6623102137264,EURUSD,buy
239,122.58500565126339,GBPUSD,sell
240,-100.92391376680597,EURUSD,buy
241,129.3959370712616,GBPUSD,sell
242,126.12278784403506,GOLD,sell
243,139.25558450356746,GOLD,sell
244,109.48623310042706,GBPUSD,sell
245,-115.61055135563664,GOLD,sell
246,125.76636469447376,GOLD,sell
247,105.02981566674055,EURUSD,sell
248,112.96090694525053,EURUSD,buy
249,99.73126257431927,GBPUSD,buy
250,-119.44842977918411,GOLD,buy
251,121.73262558451779,GOLD,buy
252,135.06216094593353,EURUSD,buy
253,103.80561308855478,EURUSD,buy
254,-112.90148971692675,EURUSD,buy
255,-109.0287803355344,GOLD,sell
256,116.0756657419497,EURUSD,sell
257,-114.64255558001632,EURUSD,sell
258,97.2656147758681,EURUSD,sell
259,134.906559877528,EURUSD,buy
260,-86.01667564414113,GOLD,buy
261,114.28276111828905,EURUSD,sell
262,-113.68475692542835,GOLD,sell
263,118.49727167015857,EURUSD,buy
264,109.1235394526739,EURUSD,sell
265,137.50667406024257,EURUSD,sell
266,143.98644831773427,EURUSD,sell
267,-102.21726822410511,EURUSD,sell
268,141.34875503435654,EURUSD,buy
269,107.87270888367348,GOLD,sell
270,102.19965192727176,EURUSD,sell
271,-104.2469853780352,GOLD,buy
272,128.2416328514811,GBPUSD,buy
273,113.19181046557634,GOLD,sell
274,128.2355133884544,EURUSD,buy
275,133.07128280331068,EURUSD,sell
276,136.90471201528993,EURUSD,sell
277,122.92502263369855,EURUSD,buy
278,-96.13931464849588,GBPUSD,sell
279,97.38156846304027,EURUSD,sell
280,125.7748584649663,EURUSD,sell
281,106.22227975242771,GOLD,sell
282,96.69814395205833,GOLD,buy
283,124.31604896902239,GOLD,buy
284,116.99879625713899,EURUSD,sell
285,-93.93021868093201,EURUSD,buy
286,133.61534461157487,GOLD,sell
287,125.86016161093794,EURUSD,sell
288,-117.98082494630569,EURUSD,sell
289,140.47620600775173,EURUSD,sell
290,108.39573063835,EURUSD,sell
291,143.04156361370292,EURUSD,buy
292,111.7800772938004,EURUSD,sell
293,107.52698970135327,GOLD,buy
294,102.18622665171117,GOLD,buy
295,103.29132928859013,GBPUSD,sell
296,126.76198775055428,EURUSD,sell
297,112.59202959954543,EURUSD,sell
298,-98.95846561051489,EURUSD,sell
299,104.27135381767825,GOLD,sell
300,97.96169358079099,GOLD,buy
301,109.37233627353402,EURUSD,sell
302,100.25772162033869,GBPUSD,sell
303,118.11738086557084,EURUSD,buy
304,113.48495333030763,GOLD,buy
305,129.13895177420954,GOLD,sell
306,134.37169914763405,GBPUSD,buy
307,99.92443353354587,GOLD,sell
308,-116.83489602127253,GBPUSD,buy
309,109.29012711106579,EURUSD,buy
310,131.9164651384156,GBPUSD,sell
311,106.0487675201621,EURUSD,buy
312,119.25710328916902,GBPUSD,buy
313,113.70785469934907,GOLD,buy
314,131.87860503042032,GBPUSD,buy
315,108.116973328513,EURUSD,buy
316,138.96992820898555,GOLD,buy
317,121.54144729273514,GOLD,sell
318,117.47579360752582,GOLD,sell
319,107.63858417446703,EURUSD,buy
320,114.10963982902189,EURUSD,sell
321,111.45979994799255,EURUSD,sell
322,111.7198729045399,EURUSD,sell
323,138.74530947551497,GBPUSD,buy
324,128.5969113189355,EURUSD,sell
325,119.92522554859475,GBPUSD,buy
326,121.7811140072903,EURUSD,sell
327,131.78109476084785,EURUSD,buy
328,102.12385453418707,GOLD,buy
329,113.42795022713449,GOLD,sell
330,123.39735862410778,EURUSD,sell
331,143.35273194206303,GOLD,buy
332,107.38688600332773,GOLD,sell
333,103.33723868084795,EURUSD,sell
334,103.71270591645869,GBPUSD,sell
335,109.68456809730466,GBPUSD,buy
336,139.0447403820684,GOLD,buy
337,121.17654669937222,EURUSD,sell
338,143.15417361161312,GOLD,sell
339,115.0970687541956,EURUSD,sell
340,-114.62028503575921,EURUSD,buy
341,108.37933569815712,EURUSD,buy
342,128.09487455637267,EURUSD,sell
343,-102.27051572055719,GBPUSD,sell
344,109.43899649569364,GOLD,sell
345,104.97809993076112,GOLD,sell
346,116.420949053588,EURUSD,sell
347,107.63566715592385,EURUSD,sell
348,125.30976203719837,EURUSD,buy
349,123.89943462828538,GBPUSD,sell
350,119.09472488903123,EURUSD,buy
351,98.48752976747649,GBPUSD,sell
352,102.45190449307077,GOLD,sell
353,143.51809115471738,EURUSD,buy
354,134.87397340102248,GOLD,buy
355,128.7121306667486,EURUSD,buy
356,124.59065954917651,GBPUSD,buy
357,115.76836387906889,GBPUSD,sell
358,140.61739892389562,EURUSD,buy
359,142.32129171199261,EURUSD,sell
360,131.08163880977492,GOLD,buy
361,-87.24932264662641,GBPUSD,sell
362,131.57379116592284,EURUSD,sell
363,136.40778128439703,GOLD,sell
364,134.17283096927474,GOLD,sell
365,103.85548525755382,GOLD,sell
366,135.09958657110633,EURUSD,sell
367,121.10714038891773,GOLD,buy
368,138.1056259590292,GBPUSD,sell
369,135.1967730946357,EURUSD,buy
370,114.09333261239556,EURUSD,buy
371,110.46613795987882,GBPUSD,sell
372,120.130578724439,EURUSD,buy
373,139.17957951717926,GBPUSD,sell
374,122.09053733347145,EURUSD,buy
375,-104.96951983655968,EURUSD,sell
376,141.11194193344681,GBPUSD,buy
377,112.07546950354013,EURUSD,sell
378,134.11320908497422,GOLD,sell
379,121.60613241486344,EURUSD,sell
380,-111.54388844898122,GOLD,sell
381,110.96265925418632,EURUSD,buy
382,131.7094220434885,EURUSD,sell
383,123.3547048738232,GBPUSD,buy
384,138.08475056456396,EURUSD,buy
385,135.42035062425663,GOLD,buy
386,136.62971000325686,EURUSD,sell
387,115.06978994689763,GOLD,buy
388,103.19603651274114,EURUSD,buy
389,130.66812328286719,GBPUSD,buy
390,126.77508637849427,EURUSD,sell
391,122.05077328068461,EURUSD,sell
392,112.59340768818814,EURUSD,buy
393,139.60562694401415,EURUSD,sell
394,115.24086800465471,GOLD,sell
395,141.46960030136714,EURUSD,buy
396,124.13903193680626,GBPUSD,buy
397,125.34980330086309,EURUSD,sell
398,137.86194762931927,EURUSD,buy
399,-102.60532734356835,GOLD,sell
400,140.27997029651021,GOLD,sell
401,103.32187405988455,EURUSD,sell
402,125.12232222637708,EURUSD,sell
403,131.3493233099867,EURUSD,sell
404,-117.02274051627106,GOLD,sell
405,101.43542620035626,GOLD,buy
406,-113.55592345783737,EURUSD,buy
407,140.20041036563387,GBPUSD,sell
408,-100.75352228504289,GBPUSD,sell
409,115.15212978576625,GOLD,sell
410,112.08946759900326,GBPUSD,buy
411,96.22233710422094,EURUSD,sell
412,115.11209729236528,EURUSD,buy
413,140.1530695878125,EURUSD,sell
414,112.65375369101893,EURUSD,sell
415,117.70646116271074,GOLD,buy
416,117.71709677436928,GBPUSD,buy
417,104.46657535229873,EURUSD,sell
418,116.10842157621829,EURUSD,sell
419,-94.49575596466534,EURUSD,sell
420,126.34868582013745,GBPUSD,buy
421,127.84979385680211,EURUSD,buy
422,142.13137523853385,GOLD,buy
423,115.90195793889714,EURUSD,buy
424,143.84996408860547,EURUSD,buy
425,124.5784808313621,GBPUSD,buy
426,131.99810257916053,GBPUSD,sell
427,139.10660589315424,EURUSD,sell
428,105.153010591856,GBPUSD,buy
429,118.65921336527995,GOLD,sell
430,99.15401469256092,GBPUSD,sell
431,117.75786406790532,EURUSD,buy
432,117.15661185303495,GOLD,sell
433,122.86273590279446,EURUSD,buy
434,104.73255026377302,GOLD,buy
435,-117.84461848534531,EURUSD,sell
436,108.99574431089059,EURUSD,buy
437,115.61924021270863,EURUSD,buy
438,103.49532467357714,GOLD,buy
439,127.62834921168727,EURUSD,buy
440,106.65466377278157,GOLD,buy
441,128.25085169273896,GBPUSD,buy
442,100.99721193525954,EURUSD,buy
443,104.57014377860801,GOLD,buy
444,107.43277349024288,EURUSD,sell
445,107.6722651679738,GBPUSD,sell
446,137.0734304691017,EURUSD,sell
447,115.06480942168584,GOLD,buy
448,105.83924617995942,GBPUSD,buy
449,139.02411928901375,GBPUSD,sell
450,100.10440948101447,GOLD,sell
451,97.27354578594336,EURUSD,sell
452,123.98599492654523,GOLD,buy
453,138.8482421316948,GBPUSD,sell
454,112.40723288149805,GOLD,sell
455,114.22523559202881,EURUSD,buy
456,108.86705475949806,GBPUSD,sell
457,115.65175930517954,GOLD,buy
458,116.9340733984952,GOLD,buy
459,141.5257587341835,EURUSD,buy
460,102.72543243678973,GOLD,sell
461,-99.49724792998055,EURUSD,sell
462,-111.9942102378926,GOLD,buy
463,97.07852679936565,EURUSD,sell
464,121.9984423037216,GOLD,sell
465,108.37860890079371,GBPUSD,sell
466,136.07665136636635,EURUSD,sell
467,-101.02760729210742,GBPUSD,buy
468,109.07075167292972,EURUSD,sell
469,139.88634271490395,GBPUSD,buy
470,123.67279082468416,GOLD,buy
471,122.60054412075809,GOLD,sell
472,135.82760657794566,GOLD,buy
473,96.52779977560706,GBPUSD,sell
474,139.20089480870905,EURUSD,sell
475,-103.89652408681233,EURUSD,buy
476,127.92176037822027,GOLD,buy
477,139.89177340439807,GBPUSD,buy
478,114.39064935597588,GOLD,buy
479,98.25436640520265,GOLD,sell
480,131.42561358846578,EURUSD,sell
481,124.95130125438662,GBPUSD,sell
482,114.68618947401488,EURUSD,buy
483,113.07229039031756,GOLD,buy
484,110.2618423499124,EURUSD,buy
485,118.85041930555678,EURUSD,sell
486,140.96782748758838,EURUSD,buy
487,106.31713817235632,EURUSD,sell
488,108.58867412639161,GOLD,buy
489,98.46843904724403,EURUSD,sell
490,124.64845674801069,EURUSD,sell
491,133.00378577979944,EURUSD,buy
492,99.60661352331883,EURUSD,buy
493,119.78358317789753,EURUSD,sell
494,116.87171225297982,EURUSD,sell
495,135.31691124836158,GOLD,buy
496,129.34543060101248,GOLD,buy
497,124.33107200971618,GOLD,sell
498,100.39593951967845,EURUSD,buy
499,-85.47274523675846,EURUSD,sell
500,-97.84023091831823,GBPUSD,sell
